Sexo;Edad;Nacionalidad;Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Hombres;56 años;Total;Total Nacional;;;2023;357.123
Hombres;56 años;Española;Total Nacional;;;2023;324.841
Hombres;56 años;Extranjera;Total Nacional;;;2023;32.282
Hombres;57 años;Total;Total Nacional;;;2023;351.388
Hombres;57 años;Española;Total Nacional;;;2023;320.933
Hombres;57 años;Extranjera;Total Nacional;;;2023;30.455
Hombres;58 años;Total;Total Nacional;;;2023;353.900
Hombres;58 años;Española;Total Nacional;;;2023;324.540
Hombres;58 años;Extranjera;Total Nacional;;;2023;29.360
Hombres;59 años;Total;Total Nacional;;;2023;334.961
Hombres;59 años;Española;Total Nacional;;;2023;307.867
Hombres;59 años;Extranjera;Total Nacional;;;2023;27.094
Hombres;60 años;Total;Total Nacional;;;2023;321.031
Hombres;60 años;Española;Total Nacional;;;2023;295.425
